"Date","Price","Open","High","Low","Vol.","Change %"
"May 22, 2020","3.94","3.92","4.04","3.88","57.54M","1.29%"
"May 21, 2020","3.89","3.67","4.05","3.63","45.47M","8.06%"
"May 20, 2020","3.60","3.53","3.60","3.46","41.29M","3.15%"
"May 19, 2020","3.49","3.47","3.52","3.35","43.56M","-0.29%"
"May 18, 2020","3.50","3.46","3.59","3.39","47.71M","1.16%"
"May 15, 2020","3.46","3.51","3.57","3.36","44.65M","0.87%"
"May 14, 2020","3.43","3.15","3.51","3.14","129.29M","10.65%"
"May 13, 2020","3.10","2.83","3.12","2.83","117.17M","16.54%"
"May 12, 2020","2.66","2.46","2.76","2.46","56.54M","9.02%"
"May 08, 2020","2.44","2.37","2.46","2.37","32.91M","3.39%"
"May 06, 2020","2.36","2.39","2.41","2.36","15.52M","-1.67%"
"May 05, 2020","2.40","2.40","2.42","2.39","8.43M","0.00%"
"May 04, 2020","2.40","2.42","2.42","2.36","16.14M","-0.83%"
"Apr 30, 2020","2.42","2.43","2.44","2.41","30.35M","0.00%"
"Apr 29, 2020","2.42","2.42","2.43","2.41","12.24M","0.41%"
"Apr 28, 2020","2.41","2.40","2.42","2.40","20.61M","0.42%"
"Apr 27, 2020","2.40","2.41","2.44","2.40","23.85M","0.42%"
"Apr 24, 2020","2.39","2.31","2.40","2.31","40.66M","3.91%"
"Apr 23, 2020","2.30","2.30","2.33","2.29","30.08M","0.88%"
"Apr 22, 2020","2.28","2.16","2.28","2.14","43.14M","5.07%"
"Apr 21, 2020","2.17","2.25","2.25","2.15","20.57M","-3.56%"
"Apr 20, 2020","2.25","2.29","2.29","2.25","19.57M","-0.88%"
"Apr 17, 2020","2.27","2.27","2.29","2.24","26.31M","1.34%"
"Apr 16, 2020","2.24","2.25","2.26","2.23","21.14M","-0.44%"
"Apr 15, 2020","2.25","2.24","2.26","2.24","21.08M","0.90%"
"Apr 14, 2020","2.23","2.26","2.26","2.22","10.28M","0.45%"
"Apr 13, 2020","2.22","2.17","2.28","2.17","20.27M","2.30%"
"Apr 10, 2020","2.17","2.16","2.17","2.15","6.17M","0.46%"
"Apr 09, 2020","2.16","2.16","2.17","2.15","28.56M","0.93%"
"Apr 08, 2020","2.14","2.15","2.15","2.14","20.68M","-0.93%"
"Apr 07, 2020","2.16","2.16","2.17","2.14","33.49M","0.93%"
"Apr 06, 2020","2.14","2.14","2.17","2.13","23.09M","0.47%"
"Apr 03, 2020","2.13","2.13","2.14","2.12","33.11M","0.00%"
"Apr 02, 2020","2.13","2.15","2.16","2.12","24.29M","0.00%"
"Apr 01, 2020","2.13","2.15","2.16","2.11","15.30M","-0.93%"
"Mar 31, 2020","2.15","2.15","2.17","2.11","32.70M","0.94%"
"Mar 30, 2020","2.13","2.13","2.15","2.11","23.86M","0.95%"
"Mar 27, 2020","2.11","2.11","2.16","2.08","30.13M","1.93%"
"Mar 26, 2020","2.07","2.07","2.07","2.05","26.05M","0.00%"
"Mar 25, 2020","2.07","2.07","2.09","2.01","29.88M","1.47%"
"Mar 24, 2020","2.04","2.04","2.08","2.04","32.38M","0.00%"
"Mar 23, 2020","2.04","2.05","2.08","2.00","40.37M","-2.39%"
"Mar 20, 2020","2.09","2.00","2.09","1.92","66.59M","7.18%"
"Mar 19, 2020","1.95","1.91","1.96","1.89","36.70M","1.56%"
"Mar 18, 2020","1.92","1.96","2.04","1.88","39.38M","-1.54%"
"Mar 17, 2020","1.95","1.90","1.95","1.76","87.90M","-0.51%"
"Mar 16, 2020","1.96","2.10","2.10","1.93","58.55M","-5.77%"
"Mar 13, 2020","2.08","2.10","2.17","1.99","65.93M","-4.15%"
"Mar 12, 2020","2.17","2.13","2.23","2.13","73.94M","3.83%"
"Mar 11, 2020","2.09","2.05","2.10","2.03","51.67M","2.96%"
"Mar 10, 2020","2.03","2.02","2.07","2.01","53.23M","-0.49%"
"Mar 09, 2020","2.04","2.01","2.05","1.97","54.50M","2.00%"
"Mar 06, 2020","2.00","1.91","2.03","1.91","109.15M","4.71%"
"Mar 05, 2020","1.91","1.90","1.92","1.90","28.81M","0.53%"
"Mar 04, 2020","1.90","1.93","1.93","1.87","82.79M","0.00%"
"Mar 03, 2020","1.90","1.92","1.95","1.87","19.50M","1.60%"
"Mar 02, 2020","1.87","1.88","1.90","1.83","24.03M","-0.53%"
"Feb 28, 2020","1.88","1.89","1.91","1.87","38.26M","-1.05%"
"Feb 27, 2020","1.90","1.90","1.93","1.89","19.62M","0.53%"
"Feb 26, 2020","1.89","1.87","1.91","1.87","42.06M","1.07%"
"Feb 25, 2020","1.87","1.81","1.89","1.80","73.49M","3.31%"
"Feb 24, 2020","1.81","1.75","1.84","1.71","73.10M","2.84%"
"Feb 21, 2020","1.76","1.75","1.82","1.75","39.63M","-0.56%"
"Feb 20, 2020","1.77","1.80","1.81","1.75","49.18M","-2.21%"
"Feb 19, 2020","1.81","1.88","1.88","1.79","44.85M","-3.72%"
"Feb 18, 2020","1.88","1.89","1.90","1.88","15.39M","-0.53%"
"Feb 17, 2020","1.89","1.95","1.96","1.88","29.25M","-3.08%"
"Feb 14, 2020","1.95","1.95","1.96","1.95","24.37M","0.00%"
"Feb 13, 2020","1.95","1.95","1.96","1.94","14.10M","0.00%"
"Feb 12, 2020","1.95","1.92","1.96","1.92","71.92M","2.09%"
"Feb 11, 2020","1.91","1.92","1.93","1.91","31.60M","0.00%"
"Feb 10, 2020","1.91","1.91","1.92","1.90","36.19M","1.06%"
"Feb 07, 2020","1.89","1.88","1.92","1.87","28.93M","1.07%"
